"Date / Time","Object Name","Object Value",
"10/19/2019 03:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 03:40:00 PM","OA-T.Trend - Present Value (Trend1)","67.1 ",
"10/19/2019 03:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 03:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 03:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 03:30:00 PM","OA-T.Trend - Present Value (Trend1)","67.1 ",
"10/19/2019 03:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 03:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.2058 ",
"10/19/2019 03:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 03:20:00 PM","OA-T.Trend - Present Value (Trend1)","66.74 ",
"10/19/2019 03:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 03:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.1484 ",
"10/19/2019 03:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 03:10:00 PM","OA-T.Trend - Present Value (Trend1)","66.92 ",
"10/19/2019 03:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 03:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 03:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 03:00:00 PM","OA-T.Trend - Present Value (Trend1)","67.1 ",
"10/19/2019 03:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 03:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 03:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 02:50:00 PM","OA-T.Trend - Present Value (Trend1)","67.46 ",
"10/19/2019 02:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 02:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 02:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 02:40:00 PM","OA-T.Trend - Present Value (Trend1)","67.82 ",
"10/19/2019 02:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
